228054	23191
681607	18285
228056	245
11542	14731
89371	21125
681606	24804
5988	3740
439011	6745
5983	3739
439012	9798
582566	25752
103541	25255
635772	2305
214072	21558
103546	14173
260524	15033
498605	3386
498606	16558
359104	19896
665117	15301
410349	5955
494928	20651
88397	1056
173153	7818
401246	15276
489168	579
311171	11195
177642	17142
279508	25251
515067	6948
191464	784
623098	11029
195511	7770
19978	9404
512871	11934
88027	2995
12013	3549
545969	25747
119868	4280
545965	25983
119863	9229
247494	20581
9259	19967
510582	15988
149140	1344
176068	1247
500609	8243
353268	19697
424834	4475
656967	8619
124354	19645
250991	5515
656968	8618
349353	10522
609402	22192
707839	7400
513587	9248
190337	17611
634808	10067
575044	2683
575048	4756
484409	12903
193820	25462
528825	12435
415433	6884
269812	12963
599072	15051
705096	3056
427569	20745
118805	18592
280302	7035
54175	1109
256125	16384
570170	6361
62087	14151
290480	5109
705541	26254
705540	4708
175083	17646
175082	16644
44424	17375
655616	20176
431259	24893
29763	24013
444200	7178
382989	17354
179854	4743
169023	8920
169025	23833
193179	21678
519518	24468
495895	4789
495891	1094
290738	20977
97931	24831
381185	13560
388675	8750
263173	12932
262031	13152
97021	25504
503721	25233
532447	20538
532440	15259
365440	4736
706019	13288
399004	11945
399001	20501
50413	611
288684	15815
145436	13403
189107	17834
570821	25866
189100	7079
55626	19392
189108	15706
461076	25161
341522	11568
341526	14827
381725	25344
458337	8560
381723	9487
26560	9813
650931	79
466862	24834
127732	11968
214531	8967
424488	18772
424489	26130
65262	5382
669176	14767
398	20076
477568	18848
104278	10802
579969	21419
425683	3359
424159	1435
75289	10264
505396	716
424153	24359
98107	3747
75283	5420
505391	6645
581169	24377
672730	13643
669795	5098
399442	25644
678479	13282
371839	17625
578700	11442
678470	16427
105636	19063
649655	6804
534846	6726
102947	8204
377789	23304
413375	24087
60011	26465
486805	9105
345521	264
668225	12628
301215	5012
210096	24297
349654	7773
371787	2386
386846	18207
712923	14232
191143	19099
57089	6833
376785	17806
210321	5736
376783	599
278909	25862
251381	18467
335998	24469
351969	9517
476773	16752
269482	25798
685851	25407
408299	1729
402593	4553
561014	16610
274599	5200
380449	17250
636218	26028
295518	4943
561018	11009
676722	10575
676729	12906
478641	20576
471920	2451
658396	6096
680074	13589
366509	8356
661482	2465
338827	14651
146861	23418
437717	8690
375209	17502
147198	6707
226660	9089
136859	18144
445497	7066
67374	24305
713324	17570
585117	7117
342607	995
447382	5596
447384	19938
342602	653
565770	13114
604651	23445
275247	3945
677455	14660
553259	8269
537967	19058
268464	17157
229524	20114
445728	522
30338	9767
169922	14264
545968	4893
232812	1385
217961	14391
472276	2075
603028	5952
562098	25153
472278	17134
361735	1525
103707	2832
612703	19986
170680	11807
586373	16086
225311	9170
587709	62
338317	17294
23265	17703
188776	6404
330124	19608
109276	25132
109270	24666
87909	6632
511321	17151
437463	5019
331294	12734
606659	21889
642111	15290
218091	5868
218099	7337
43855	20919
652649	24049
449127	23742
552613	23145
456409	1983
695861	3335
116714	23757
441712	13922
277240	3680
647545	26079
73446	23461
397650	20153
92740	16925
402034	10761
603978	651
436706	9182
201896	15847
593164	24668
593165	4476
602085	17340
561844	13890
131318	10395
240123	24479
124114	2678
240121	12279
140853	9527
583832	2117
617665	22928
588773	16607
334922	13727
134364	18497
619958	16341
134362	16797
358560	24819
605682	22350
317259	1792
128142	15342
125392	5435
128147	25977
618393	23276
125397	13678
170914	10196
403855	18149
243675	23814
322671	13185
517912	21043
309052	14666
692848	10033
284611	11015
628860	20207
390864	861
327247	413
442960	22183
18893	14678
322580	5273
18897	22921
455194	24720
322589	9160
400507	25714
554768	12072
175249	20011
709670	580
87294	21762
701463	21726
146456	11374
44229	21800
123941	7430
587483	17754
18760	26368
280671	18951
583300	263
398734	5184
421231	23973
575476	25101
704172	23142
129435	12226
499262	15553
631550	19671
314509	7901
693717	7953
462743	12638
365289	16337
663490	8245
663491	2170
663492	1664
663495	635
557238	3894
629024	11748
451444	5965
701289	15475
174119	19105
71771	3690
353814	335
342576	22099
259527	25689
163980	11316
650633	16156
661893	21520
585221	1761
44913	10526
541322	15116
123051	15766
438246	6847
226126	6479
590883	5663
219663	25906
379905	24015
150368	10373
127532	19268
65061	15205
624198	11762
310512	17485
624194	11664
624197	14530
624191	11663
154840	25016
580766	25277
120620	23749
120626	20649
212589	7187
631224	156
460452	8624
460457	4883
160863	14413
158281	1540
318077	21477
261047	5295
158715	20985
350272	5366
257268	3897
154598	20159
192148	12762
493288	2962
43338	13649
43337	6081
13670	14915
493283	18535
493286	2961
16001	11682
5865	5545
96434	5507
94363	7562
116356	14668
94367	1931
52347	1744
52346	3738
60258	25667
364904	14950
539802	16075
573160	14682
503878	10815
305516	12100
581418	5976
581414	25064
599861	2286
599862	2287
20868	14216
250814	4892
633489	26099
118300	11462
215176	18014
498475	4500
657134	24393
483729	3431
490642	419
512933	17953
398689	18726
494773	14976
99526	2279
303583	21917
303586	16627
45637	15989
48204	1649
467104	17049
357329	14704
80386	13490
63784	9533
12209	12739
672806	19395
403615	491
167899	15920
564557	4624
63256	25704
368138	9747
10515	22842
21408	22656
223819	11849
21406	15213
8868	24725
662347	24591
288181	18405
288180	164
307809	6062
288185	25661
335525	4303
335526	4137
307805	20819
68636	23297
584892	10139
204583	25383
466273	17389
